Measure Names,Year of Season,Measure Values
Count of Number of MLB Teams,1960,1
Count of Number of MLB Teams,1961,1
Count of Number of MLB Teams,1962,1
Count of Number of MLB Teams,1963,1
Count of Number of MLB Teams,1964,1
Count of Number of MLB Teams,1965,1
Count of Number of MLB Teams,1966,1
Count of Number of MLB Teams,1967,1
Count of Number of MLB Teams,1968,1
Count of Number of MLB Teams,1969,1
Count of Number of MLB Teams,1970,1
Count of Number of MLB Teams,1971,1
Count of Number of MLB Teams,1972,1
Count of Number of MLB Teams,1973,1
Count of Number of MLB Teams,1974,1
Count of Number of MLB Teams,1975,1
Count of Number of MLB Teams,1976,1
Count of Number of MLB Teams,1977,1
Count of Number of MLB Teams,1978,1
Count of Number of MLB Teams,1979,1
Count of Number of MLB Teams,1980,1
Count of Number of MLB Teams,1981,1
Count of Number of MLB Teams,1982,1
Count of Number of MLB Teams,1983,1
Count of Number of MLB Teams,1984,1
Count of Number of MLB Teams,1985,1
Count of Number of MLB Teams,1986,1
Count of Number of MLB Teams,1987,1
Count of Number of MLB Teams,1988,1
Count of Number of MLB Teams,1989,1
Count of Number of MLB Teams,1990,1
Count of Number of MLB Teams,1991,1
Count of Number of MLB Teams,1992,1
Count of Number of MLB Teams,1993,1
Count of Number of MLB Teams,1994,1
Count of Number of MLB Teams,1995,1
Count of Number of MLB Teams,1996,1
Count of Number of MLB Teams,1997,1
Count of Number of MLB Teams,1998,1
Count of Number of MLB Teams,1999,1
Count of Number of MLB Teams,2000,1
Count of Number of MLB Teams,2001,1
Count of Number of MLB Teams,2002,1
Count of Number of MLB Teams,2003,1
Count of Number of MLB Teams,2004,1
Count of Number of MLB Teams,2005,1
Count of Number of MLB Teams,2006,1
Count of Number of MLB Teams,2007,1
Count of Number of MLB Teams,2008,1
Count of Number of MLB Teams,2009,1
Count of Number of MLB Teams,2010,1
Count of Number of MLB Teams,2011,1
Count of Number of MLB Teams,2012,1
Count of Number of MLB Teams,2013,1
Count of Number of MLB Teams,2014,1
Count of Number of MLB Teams,2015,1
Count of Number of MLB Teams,2016,1
Average Number of MiLB Teams Per MLB Franchise,1960,7.875
Average Number of MiLB Teams Per MLB Franchise,1961,6.611111111
Average Number of MiLB Teams Per MLB Franchise,1962,5.25
Average Number of MiLB Teams Per MLB Franchise,1963,5.05
Average Number of MiLB Teams Per MLB Franchise,1964,5.1
Average Number of MiLB Teams Per MLB Franchise,1965,5
Average Number of MiLB Teams Per MLB Franchise,1966,5.15
Average Number of MiLB Teams Per MLB Franchise,1967,5.05
Average Number of MiLB Teams Per MLB Franchise,1968,5.3
Average Number of MiLB Teams Per MLB Franchise,1969,4.666666667
Average Number of MiLB Teams Per MLB Franchise,1970,4.75
Average Number of MiLB Teams Per MLB Franchise,1971,4.708333333
Average Number of MiLB Teams Per MLB Franchise,1972,4.708333333
Average Number of MiLB Teams Per MLB Franchise,1973,4.5
Average Number of MiLB Teams Per MLB Franchise,1974,4.416666667
Average Number of MiLB Teams Per MLB Franchise,1975,4.041666667
Average Number of MiLB Teams Per MLB Franchise,1976,4.208333333
Average Number of MiLB Teams Per MLB Franchise,1977,4.192307692
Average Number of MiLB Teams Per MLB Franchise,1978,4.192307692
Average Number of MiLB Teams Per MLB Franchise,1979,4.5
Average Number of MiLB Teams Per MLB Franchise,1980,4.5
Average Number of MiLB Teams Per MLB Franchise,1981,4.461538462
Average Number of MiLB Teams Per MLB Franchise,1982,4.692307692
Average Number of MiLB Teams Per MLB Franchise,1983,4.769230769
Average Number of MiLB Teams Per MLB Franchise,1984,4.846153846
Average Number of MiLB Teams Per MLB Franchise,1985,4.884615385
Average Number of MiLB Teams Per MLB Franchise,1986,4.923076923
Average Number of MiLB Teams Per MLB Franchise,1987,5.115384615
Average Number of MiLB Teams Per MLB Franchise,1988,5.346153846
Average Number of MiLB Teams Per MLB Franchise,1989,5.461538462
Average Number of MiLB Teams Per MLB Franchise,1990,5.461538462
Average Number of MiLB Teams Per MLB Franchise,1991,5.538461538
Average Number of MiLB Teams Per MLB Franchise,1992,5.576923077
Average Number of MiLB Teams Per MLB Franchise,1993,5.25
Average Number of MiLB Teams Per MLB Franchise,1994,5.321428571
Average Number of MiLB Teams Per MLB Franchise,1995,5.392857143
Average Number of MiLB Teams Per MLB Franchise,1996,5.392857143
Average Number of MiLB Teams Per MLB Franchise,1997,5.428571429
Average Number of MiLB Teams Per MLB Franchise,1998,5.166666667
Average Number of MiLB Teams Per MLB Franchise,1999,5.266666667
Average Number of MiLB Teams Per MLB Franchise,2000,5.266666667
Average Number of MiLB Teams Per MLB Franchise,2001,5.2
Average Number of MiLB Teams Per MLB Franchise,2002,5.2
Average Number of MiLB Teams Per MLB Franchise,2003,5.233333333
Average Number of MiLB Teams Per MLB Franchise,2004,5.466666667
Average Number of MiLB Teams Per MLB Franchise,2005,5.533333333
Average Number of MiLB Teams Per MLB Franchise,2006,6.366666667
Average Number of MiLB Teams Per MLB Franchise,2007,6.4
Average Number of MiLB Teams Per MLB Franchise,2008,6.5
Average Number of MiLB Teams Per MLB Franchise,2009,6.433333333
Average Number of MiLB Teams Per MLB Franchise,2010,6.4
Average Number of MiLB Teams Per MLB Franchise,2011,6.4
Average Number of MiLB Teams Per MLB Franchise,2012,6.366666667
Average Number of MiLB Teams Per MLB Franchise,2013,6.533333333
Average Number of MiLB Teams Per MLB Franchise,2014,6.533333333
Average Number of MiLB Teams Per MLB Franchise,2015,6.566666667
Average Number of MiLB Teams Per MLB Franchise,2016,6.6
