AU,CA,DO,JP,PA,PR,Season,US,VE
,5,,,,,1/1/1960,168,
,4,,,,,1/1/1961,176,
,3,,,,,1/1/1962,163,
,2,,,,,1/1/1963,156,
,2,,,,,1/1/1964,159,
,2,,,,,1/1/1965,155,
,2,,,,,1/1/1966,156,
,2,,,,,1/1/1967,159,
,1,,,,,1/1/1968,164,
,3,,,,,1/1/1969,172,
,1,,,,,1/1/1970,176,
,4,,,,,1/1/1971,167,
,4,,,,,1/1/1972,169,
,4,,,,,1/1/1973,160,
,6,,,,,1/1/1974,144,
,5,,,,,1/1/1975,138,
,5,,,,,1/1/1976,155,
,8,,,,,1/1/1977,164,
,7,,,,,1/1/1978,146,
,7,,,1,2,1/1/1979,149,2
,7,,,,,1/1/1980,154,
,7,,,,,1/1/1981,155,
,7,,,,,1/1/1982,163,
,7,,,,,1/1/1983,165,
,6,,,,,1/1/1984,168,
,6,,,,,1/1/1985,168,
,7,,,,,1/1/1986,167,
,7,,,,,1/1/1987,173,
,8,,,,,1/1/1988,182,
,10,13,,,,1/1/1989,186,
,10,18,,,,1/1/1990,186,
,10,18,,,,1/1/1991,189,
,11,20,,,,1/1/1992,190,
,11,21,,,,1/1/1993,193,
,10,20,,,,1/1/1994,197,
,9,21,1,,,1/1/1995,197,
,9,23,,,,1/1/1996,196,
8,9,28,,,3,1/1/1997,196,4
,9,32,,,,1/1/1998,201,
,8,33,,,,1/1/1999,204,
,7,33,,,,1/1/2000,205,
,7,33,,,,1/1/2001,204,
,7,34,,,,1/1/2002,205,11
,5,35,,,,1/1/2003,207,9
,5,31,,,,1/1/2004,206,9
,3,36,,,,1/1/2005,208,5
,3,37,,,,1/1/2006,209,4
,3,40,,,,1/1/2007,211,3
,2,42,,,,1/1/2008,213,3
,2,37,,,,1/1/2009,215,3
,2,37,,,,1/1/2010,215,4
,2,35,,,,1/1/2011,216,4
,2,36,,,,1/1/2012,215,3
,2,36,,,,1/1/2013,217,4
,2,37,,,,1/1/2014,217,4
,2,39,,,,1/1/2015,218,4
,2,42,,,,1/1/2016,219,
