Grand Total,Location,MLB,Mi LB,Number of Records
4,Australia,,4,1
1,New South Wales,,1,1
2,Queensland,,2,1
1,South Australia,,1,1
92,Alberta,,92,1
57,British Columbia,,57,1
7,Manitoba,,7,1
93,Ontario,40,53,1
55,Quebec,36,19,1
907,Dominican Republic,,907,1
1,Japan,,1,1
1,Panama,,1,1
4,Puerto Rico,,4,1
1,Ponce,,1,1
145,AL,,145,1
77,AR,,77,1
458,AZ,19,439,1
819,CA,267,552,1
93,CO,24,69,1
97,CT,,97,1
35,DC,35,,1
1707,FL,43,1664,1
275,GA,51,224,1
27,HI,,27,1
333,IA,,333,1
143,ID,,143,1
255,IL,114,141,1
133,IN,,133,1
38,KS,,38,1
100,KY,,100,1
66,LA,,66,1
124,MA,57,67,1
206,MD,57,149,1
5,ME,,5,1
168,MI,57,111,1
82,MN,56,26,1
126,MO,113,13,1
48,MS,,48,1
186,MT,,186,1
556,NC,,556,1
12,ND,,12,1
53,NE,,53,1
21,NH,,21,1
74,NJ,,74,1
60,NM,,60,1
76,NV,,76,1
807,NY,113,694,1
300,OH,114,186,1
114,OK,,114,1
225,OR,,225,1
366,PA,114,252,1
50,RI,,50,1
237,SC,,237,1
6,SD,,6,1
377,TN,,377,1
356,TX,100,256,1
108,UT,,108,1
499,VA,,499,1
29,VT,,29,1
285,WA,41,244,1
174,WI,53,121,1
75,WV,,75,1
11,WY,,11,1
62,Venezuela,,62,1
3,Aragua,,3,1
6,Carabobo,,6,1
3,Lara,,3,1
2,Yaracuy,,2,1
