Dominican Republic (Frk),Panama (AAA),Puerto Rico (AAA),Puerto Rico (Frk),Season
,,,,1/1/1976
,,,,1/1/1977
,,,,1/1/1978
,1,2,,1/1/1979
,,,,1/1/1980
,,,,1/1/1981
,,,,1/1/1982
,,,,1/1/1983
,,,,1/1/1984
,,,,1/1/1985
,,,,1/1/1986
,,,,1/1/1987
,,,,1/1/1988
13,,,,1/1/1989
18,,,,1/1/1990
18,,,,1/1/1991
20,,,,1/1/1992
21,,,,1/1/1993
20,,,,1/1/1994
21,,,,1/1/1995
23,,,,1/1/1996
28,,,3,1/1/1997
32,,,,1/1/1998
33,,,,1/1/1999
33,,,,1/1/2000
33,,,,1/1/2001
34,,,,1/1/2002
35,,,,1/1/2003
31,,,,1/1/2004
36,,,,1/1/2005
37,,,,1/1/2006
40,,,,1/1/2007
42,,,,1/1/2008
37,,,,1/1/2009
37,,,,1/1/2010
35,,,,1/1/2011
36,,,,1/1/2012
36,,,,1/1/2013
37,,,,1/1/2014
39,,,,1/1/2015
42,,,,1/1/2016
