Canada (AA),Season,United States (AA)
1,1/1/1960,13
1,1/1/1961,13
,1/1/1962,6
,1/1/1963,20
,1/1/1964,20
,1/1/1965,20
,1/1/1966,20
,1/1/1967,20
,1/1/1968,20
,1/1/1969,20
,1/1/1970,22
2,1/1/1971,20
3,1/1/1972,21
3,1/1/1973,21
4,1/1/1974,20
3,1/1/1975,21
2,1/1/1976,22
2,1/1/1977,22
,1/1/1978,24
,1/1/1979,24
,1/1/1980,26
,1/1/1981,26
,1/1/1982,26
,1/1/1983,26
,1/1/1984,26
,1/1/1985,26
,1/1/1986,26
,1/1/1987,26
,1/1/1988,26
1,1/1/1989,25
1,1/1/1990,25
1,1/1/1991,25
1,1/1/1992,25
1,1/1/1993,25
,1/1/1994,28
,1/1/1995,28
,1/1/1996,28
,1/1/1997,28
,1/1/1998,28
,1/1/1999,30
,1/1/2000,30
,1/1/2001,30
,1/1/2002,30
,1/1/2003,30
,1/1/2004,30
,1/1/2005,30
,1/1/2006,30
,1/1/2007,30
,1/1/2008,30
,1/1/2009,30
,1/1/2010,30
,1/1/2011,30
,1/1/2012,30
,1/1/2013,30
,1/1/2014,30
,1/1/2015,30
,1/1/2016,30
,1/1/2017,30
