Table 3, Table of Major and Minor League Twitter accounts with number of followers and date joined, Data gathered 30 December 2018,
Team,	Number of Followers, Date Joined,
Marlins,	326342,	2009,
Padres,	383232,	2009,
RaysBaseball,	537648,	2009,
Mariners,	539076,	2009,
Athletics,	542847,	2009,
Rockies,	546025,	2010,
Dbacks,	574668,	2009,
Brewers,	576733,	2009,
Twins,	604306,	2009,
Nationals,	693590,	2009,
Pirates,	732419,	2009,
Orioles,	779761,	2009,
Reds,	819966,	2009,
whitesox,	903455,	2009,
Indians,	1025411,	2009,
Mets,	1035603,	2009,
Royals,	1041934,	2009,
Angels,	1065441,	2009,
Cardinals,	1188351,	2009,
